Qty,Value,Device,Package,Parts,Description,ELECROW,LCSC
2,100k,R-EU_R0805,R0805,"R11, R15","RESISTOR, European symbol",C17407,C17407
5,100nF,C-EUC0805K,C0805K,"C3, C7, C9, C10, C11","CAPACITOR, European symbol",C49678,C49678
4,10k,R-EU_R0805,R0805,"R3, R13, R16, R17","RESISTOR, European symbol",C17414,C17414
4,10u,C-EUC0805K,C0805K,"C4, C5, C6, C8","CAPACITOR, European symbol",C15850,C15850
2,18pF,C-EUC0805K,C0805K,"C1, C2","CAPACITOR, European symbol",C1797,C1797
3,1M,R-EU_R0805,R0805,"R12, R18, R19","RESISTOR, European symbol",C17514,C17514
7,1k,R-EU_R0805,R0805,"R1, R2, R7, R8, R9, R14, R20","RESISTOR, European symbol",C17513,C17513
1,22,R-EU_R0805,R0805,R6,"RESISTOR, European symbol",C17561,C17561
2,22,R-EU_R0805,R0805,"R4, R5","RESISTOR, European symbol",C17561,C17561
1,220,R-EU_R0805,R0805,R10,"RESISTOR, European symbol",C17557,C17557
1,32U4,ATMEGA32U4-AU,TQFP44,IC1,http://www.ladyada.net/library/eagle,,C44854
1,8MHz,XTALNX6035,NX6035,X1,"Low cost SMT crystals, no capacitors included",,C122522
1,BSP75,BSP613P,PG-SOT-223,Q6,SIPMOS (R) Small-Signal-Transistor P-Channel (2 Drain),,C111029
1,DMP1045U or DMG2302,TRANSISTOR_FET_TSM2301CX,SOT-23,IC4,20V P-Channel Enhancement Mode MOSFET,,C96613
1,GREEN,LED1206,LED-1206,LED2,LEDs,,C14641
1,LM1117S-3.3,REG1117,SOT223,IC5,800mA and 1A Low Dropout (LDO) Positive Regulator,,C126027
1,MCP73831T,MCP73831/2,SOT23-5,IC2,MCP73831/2 LIPO Charger,,C14879
1,MINI-USB,MINI-USB-SCHIELD-32005-201,32005-201,X2,MINI USB-B Conector,,C46391
1,NCT75DMR2G,TMP75DGK,MSOP8,U1,,,C94387
1,RED,LED1206,LED-1206,LED1,LEDs,,C49018
3,Schottky,MBR0520LT,SOD123,"D1, D2, D3",SCHOTTKY BARRIER RECTIFIER,,C82544
1,YELLOW,LED1206,LED-1206,LED3,LEDs,,C84273
